Readings, Start Timestamp, End Timestamp, Meter name, Great Dorm 2nd Floor Electric, Unit, kWh 
24.6062455398326,2020-07-15 09:10:00,2020-07-15 09:30:00,,,,
23.0217687183991,2020-07-15 09:30:00,2020-07-15 09:50:00,,,,
22.7139270346959,2020-07-15 09:50:00,2020-07-15 10:10:00,,,,
21.5253098184674,2020-07-15 10:10:00,2020-07-15 10:30:00,,,,
23.7375639138284,2020-07-15 10:30:00,2020-07-15 10:50:00,,,,
24.5338868263389,2020-07-15 10:50:00,2020-07-15 11:10:00,,,,
25.36815126654,2020-07-15 11:10:00,2020-07-15 11:30:00,,,,
28.0285374726636,2020-07-15 11:30:00,2020-07-15 11:50:00,,,,
27.9855948777391,2020-07-15 11:50:00,2020-07-15 12:10:00,,,,
25.0013106319794,2020-07-15 12:10:00,2020-07-15 12:30:00,,,,
22.9463260811384,2020-07-15 12:30:00,2020-07-15 12:50:00,,,,
25.7161498937925,2020-07-15 12:50:00,2020-07-15 13:10:00,,,,
27.4671650473984,2020-07-15 13:10:00,2020-07-15 13:30:00,,,,
27.4785105606388,2020-07-15 13:30:00,2020-07-15 13:50:00,,,,
29.6327026609584,2020-07-15 13:50:00,2020-07-15 14:10:00,,,,
29.3813059235831,2020-07-15 14:10:00,2020-07-15 14:30:00,,,,
29.8000464875072,2020-07-15 14:30:00,2020-07-15 14:50:00,,,,
28.3601868409016,2020-07-15 14:50:00,2020-07-15 15:10:00,,,,
26.9982141529609,2020-07-15 15:10:00,2020-07-15 15:30:00,,,,
26.9509398452844,2020-07-15 15:30:00,2020-07-15 15:50:00,,,,
27.9254707928315,2020-07-15 15:50:00,2020-07-15 16:10:00,,,,
27.3373311685188,2020-07-15 16:10:00,2020-07-15 16:30:00,,,,
26.0028896912397,2020-07-15 16:30:00,2020-07-15 16:50:00,,,,
28.9391274585155,2020-07-15 16:50:00,2020-07-15 17:10:00,,,,
26.3926941373685,2020-07-15 17:10:00,2020-07-15 17:30:00,,,,
27.5783330077748,2020-07-15 17:30:00,2020-07-15 17:50:00,,,,
27.9789859801229,2020-07-15 17:50:00,2020-07-15 18:10:00,,,,
27.125600600913,2020-07-15 18:10:00,2020-07-15 18:30:00,,,,
26.1368572877369,2020-07-15 18:30:00,2020-07-15 18:50:00,,,,
25.8860806209102,2020-07-15 18:50:00,2020-07-15 19:10:00,,,,
27.1918939256193,2020-07-15 19:10:00,2020-07-15 19:30:00,,,,
27.1019718923354,2020-07-15 19:30:00,2020-07-15 19:50:00,,,,
28.6921904349508,2020-07-15 19:50:00,2020-07-15 20:10:00,,,,
29.2588273121619,2020-07-15 20:10:00,2020-07-15 20:30:00,,,,
