Readings, Start Timestamp, End Timestamp, Meter name, Great Dorm 1st Floor Electric, Unit, kWh 
14.8799945903605,2020-07-15 09:10:00,2020-07-15 09:30:00,,,,
14.4521124079602,2020-07-15 09:30:00,2020-07-15 09:50:00,,,,
15.3630524045801,2020-07-15 09:50:00,2020-07-15 10:10:00,,,,
12.4282892933802,2020-07-15 10:10:00,2020-07-15 10:30:00,,,,
12.8778109701574,2020-07-15 10:30:00,2020-07-15 10:50:00,,,,
15.4798786738329,2020-07-15 10:50:00,2020-07-15 11:10:00,,,,
15.3117103618933,2020-07-15 11:10:00,2020-07-15 11:30:00,,,,
15.1549011608458,2020-07-15 11:30:00,2020-07-15 11:50:00,,,,
15.0377934381582,2020-07-15 11:50:00,2020-07-15 12:10:00,,,,
14.6038119204271,2020-07-15 12:10:00,2020-07-15 12:30:00,,,,
11.9597091546298,2020-07-15 12:30:00,2020-07-15 12:50:00,,,,
11.3513406667172,2020-07-15 12:50:00,2020-07-15 13:10:00,,,,
8.9012449823408,2020-07-15 13:10:00,2020-07-15 13:30:00,,,,
8.77122764291809,2020-07-15 13:30:00,2020-07-15 13:50:00,,,,
8.01174724280722,2020-07-15 13:50:00,2020-07-15 14:10:00,,,,
8.03807328952305,2020-07-15 14:10:00,2020-07-15 14:30:00,,,,
6.04926371656834,2020-07-15 14:30:00,2020-07-15 14:50:00,,,,
7.48412708894427,2020-07-15 14:50:00,2020-07-15 15:10:00,,,,
6.07252173976625,2020-07-15 15:10:00,2020-07-15 15:30:00,,,,
7.32267806856766,2020-07-15 15:30:00,2020-07-15 15:50:00,,,,
9.4449998756516,2020-07-15 15:50:00,2020-07-15 16:10:00,,,,
11.3461862552348,2020-07-15 16:10:00,2020-07-15 16:30:00,,,,
8.53077426455137,2020-07-15 16:30:00,2020-07-15 16:50:00,,,,
10.2831820145799,2020-07-15 16:50:00,2020-07-15 17:10:00,,,,
11.1082912020282,2020-07-15 17:10:00,2020-07-15 17:30:00,,,,
13.944496091103,2020-07-15 17:30:00,2020-07-15 17:50:00,,,,
15.9284563080073,2020-07-15 17:50:00,2020-07-15 18:10:00,,,,
14.1685249386022,2020-07-15 18:10:00,2020-07-15 18:30:00,,,,
13.7335731337556,2020-07-15 18:30:00,2020-07-15 18:50:00,,,,
16.3928939023329,2020-07-15 18:50:00,2020-07-15 19:10:00,,,,
13.6739069024162,2020-07-15 19:10:00,2020-07-15 19:30:00,,,,
14.9178067449635,2020-07-15 19:30:00,2020-07-15 19:50:00,,,,
17.6184852871321,2020-07-15 19:50:00,2020-07-15 20:10:00,,,,
15.2101249408682,2020-07-15 20:10:00,2020-07-15 20:30:00,,,,
16.0166150418437,2020-07-15 20:30:00,2020-07-15 20:50:00,,,,
14.5780339376166,2020-07-15 20:50:00,2020-07-15 21:10:00,,,,
12.2428544847751,2020-07-15 21:10:00,2020-07-15 21:30:00,,,,
9.33791068041359,2020-07-15 21:30:00,2020-07-15 21:50:00,,,,
8.69376298452616,2020-07-15 21:50:00,2020-07-15 22:10:00,,,,
7.02445902826088,2020-07-15 22:10:00,2020-07-15 22:30:00,,,,
5.14953631024495,2020-07-15 22:30:00,2020-07-15 22:50:00,,,,
7.28705980400997,2020-07-15 22:50:00,2020-07-15 23:10:00,,,,
